"layer","x","y"
188,-60.5,34.5
188,-59.5,34.5
188,-58.5,34.5
188,-57.5,34.5
188,-56.5,34.5
428,-55.5,34.5
-1,-94.5,33.5
-1,-93.5,33.5
-1,-92.5,33.5
-1,-91.5,33.5
-1,-90.5,33.5
-1,-89.5,33.5
-1,-88.5,33.5
-1,-87.5,33.5
-1,-86.5,33.5
-1,-85.5,33.5
-1,-84.5,33.5
-1,-83.5,33.5
-1,-82.5,33.5
-1,-81.5,33.5
-1,-80.5,33.5
-1,-79.5,33.5
212,-78.5,33.5
212,-77.5,33.5
212,-76.5,33.5
32,-75.5,33.5
32,-74.5,33.5
32,-73.5,33.5
32,-72.5,33.5
32,-71.5,33.5
68,-70.5,33.5
68,-69.5,33.5
68,-68.5,33.5
380,-67.5,33.5
380,-66.5,33.5
380,-65.5,33.5
380,-64.5,33.5
380,-63.5,33.5
380,-62.5,33.5
380,-61.5,33.5
380,-60.5,33.5
380,-59.5,33.5
380,-58.5,33.5
380,-57.5,33.5
380,-56.5,33.5
428,-55.5,33.5
-1,-94.5,32.5
-1,-93.5,32.5
-1,-92.5,32.5
-1,-91.5,32.5
-1,-90.5,32.5
-1,-89.5,32.5
-1,-88.5,32.5
-1,-87.5,32.5
-1,-86.5,32.5
-1,-85.5,32.5
-1,-84.5,32.5
-1,-83.5,32.5
-1,-82.5,32.5
-1,-81.5,32.5
211,-80.5,32.5
212,-79.5,32.5
212,-78.5,32.5
212,-77.5,32.5
212,-76.5,32.5
32,-75.5,32.5
32,-74.5,32.5
32,-73.5,32.5
32,-72.5,32.5
32,-71.5,32.5
188,-70.5,32.5
188,-69.5,32.5
188,-68.5,32.5
128,-67.5,32.5
308,-66.5,32.5
308,-65.5,32.5
308,-64.5,32.5
380,-63.5,32.5
380,-62.5,32.5
380,-61.5,32.5
380,-60.5,32.5
380,-59.5,32.5
380,-58.5,32.5
380,-57.5,32.5
380,-56.5,32.5
428,-55.5,32.5
-1,-94.5,31.5
-1,-93.5,31.5
-1,-92.5,31.5
-1,-91.5,31.5
-1,-90.5,31.5
-1,-89.5,31.5
-1,-88.5,31.5
-1,-87.5,31.5
-1,-86.5,31.5
-1,-85.5,31.5
-1,-84.5,31.5
-1,-83.5,31.5
-1,-82.5,31.5
211,-81.5,31.5
211,-80.5,31.5
212,-79.5,31.5
212,-78.5,31.5
212,-77.5,31.5
212,-76.5,31.5
32,-75.5,31.5
32,-74.5,31.5
32,-73.5,31.5
32,-72.5,31.5
32,-71.5,31.5
188,-70.5,31.5
188,-69.5,31.5
188,-68.5,31.5
128,-67.5,31.5
308,-66.5,31.5
308,-65.5,31.5
308,-64.5,31.5
380,-63.5,31.5
380,-62.5,31.5
380,-61.5,31.5
380,-60.5,31.5
380,-59.5,31.5
380,-58.5,31.5
380,-57.5,31.5
380,-56.5,31.5
428,-55.5,31.5
-1,-94.5,30.5
-1,-93.5,30.5
-1,-92.5,30.5
-1,-91.5,30.5
-1,-90.5,30.5
152,-89.5,30.5
152,-88.5,30.5
380,-87.5,30.5
380,-86.5,30.5
-1,-85.5,30.5
-1,-84.5,30.5
-1,-83.5,30.5
-1,-82.5,30.5
211,-81.5,30.5
211,-80.5,30.5
212,-79.5,30.5
212,-78.5,30.5
212,-77.5,30.5
212,-76.5,30.5
32,-75.5,30.5
32,-74.5,30.5
32,-73.5,30.5
32,-72.5,30.5
212,-71.5,30.5
212,-70.5,30.5
212,-69.5,30.5
128,-68.5,30.5
128,-67.5,30.5
308,-66.5,30.5
308,-65.5,30.5
308,-64.5,30.5
380,-63.5,30.5
380,-62.5,30.5
380,-61.5,30.5
380,-60.5,30.5
380,-59.5,30.5
380,-58.5,30.5
380,-57.5,30.5
68,-56.5,30.5
68,-55.5,30.5
380,-94.5,29.5
380,-93.5,29.5
80,-92.5,29.5
80,-91.5,29.5
80,-90.5,29.5
152,-89.5,29.5
380,-88.5,29.5
380,-87.5,29.5
380,-86.5,29.5
212,-85.5,29.5
212,-84.5,29.5
212,-83.5,29.5
-1,-82.5,29.5
-1,-81.5,29.5
212,-80.5,29.5
212,-79.5,29.5
212,-78.5,29.5
212,-77.5,29.5
212,-76.5,29.5
212,-75.5,29.5
212,-74.5,29.5
212,-73.5,29.5
212,-72.5,29.5
212,-71.5,29.5
212,-70.5,29.5
212,-69.5,29.5
212,-68.5,29.5
212,-67.5,29.5
128,-66.5,29.5
128,-65.5,29.5
128,-64.5,29.5
128,-63.5,29.5
128,-62.5,29.5
128,-61.5,29.5
68,-60.5,29.5
68,-59.5,29.5
68,-58.5,29.5
68,-57.5,29.5
68,-56.5,29.5
68,-55.5,29.5
380,-94.5,28.5
380,-93.5,28.5
80,-92.5,28.5
80,-91.5,28.5
80,-90.5,28.5
80,-89.5,28.5
80,-88.5,28.5
212,-87.5,28.5
212,-86.5,28.5
212,-85.5,28.5
212,-84.5,28.5
212,-83.5,28.5
212,-82.5,28.5
-1,-81.5,28.5
212,-80.5,28.5
