"layer","x","y"
1760,-70.5,34.5
1760,-69.5,34.5
1760,-68.5,34.5
1772,-67.5,34.5
1772,-66.5,34.5
1772,-65.5,34.5
1712,-64.5,34.5
1760,-63.5,34.5
1760,-62.5,34.5
1760,-61.5,34.5
1676,-60.5,34.5
1676,-59.5,34.5
1676,-58.5,34.5
1676,-57.5,34.5
1676,-56.5,34.5
1784,-55.5,34.5
-1,-94.5,33.5
-1,-93.5,33.5
-1,-92.5,33.5
-1,-91.5,33.5
-1,-90.5,33.5
-1,-89.5,33.5
-1,-88.5,33.5
-1,-87.5,33.5
-1,-86.5,33.5
-1,-85.5,33.5
-1,-84.5,33.5
-1,-83.5,33.5
-1,-82.5,33.5
-1,-81.5,33.5
-1,-80.5,33.5
-1,-79.5,33.5
1760,-78.5,33.5
1760,-77.5,33.5
1760,-76.5,33.5
1064,-75.5,33.5
1064,-74.5,33.5
1760,-73.5,33.5
1760,-72.5,33.5
1760,-71.5,33.5
1760,-70.5,33.5
1760,-69.5,33.5
1760,-68.5,33.5
1772,-67.5,33.5
1772,-66.5,33.5
1772,-65.5,33.5
1712,-64.5,33.5
1712,-63.5,33.5
1760,-62.5,33.5
1760,-61.5,33.5
1796,-60.5,33.5
1676,-59.5,33.5
1676,-58.5,33.5
1676,-57.5,33.5
1796,-56.5,33.5
1796,-55.5,33.5
-1,-94.5,32.5
-1,-93.5,32.5
-1,-92.5,32.5
-1,-91.5,32.5
-1,-90.5,32.5
-1,-89.5,32.5
-1,-88.5,32.5
-1,-87.5,32.5
-1,-86.5,32.5
-1,-85.5,32.5
-1,-84.5,32.5
-1,-83.5,32.5
-1,-82.5,32.5
-1,-81.5,32.5
1760,-80.5,32.5
1760,-79.5,32.5
1760,-78.5,32.5
1760,-77.5,32.5
1760,-76.5,32.5
1064,-75.5,32.5
1760,-74.5,32.5
1760,-73.5,32.5
1760,-72.5,32.5
1760,-71.5,32.5
1760,-70.5,32.5
1760,-69.5,32.5
1760,-68.5,32.5
1760,-67.5,32.5
1760,-66.5,32.5
1772,-65.5,32.5
1760,-64.5,32.5
1760,-63.5,32.5
1796,-62.5,32.5
1796,-61.5,32.5
1796,-60.5,32.5
1796,-59.5,32.5
1796,-58.5,32.5
1796,-57.5,32.5
1796,-56.5,32.5
1796,-55.5,32.5
-1,-94.5,31.5
-1,-93.5,31.5
-1,-92.5,31.5
-1,-91.5,31.5
-1,-90.5,31.5
-1,-89.5,31.5
-1,-88.5,31.5
-1,-87.5,31.5
-1,-86.5,31.5
-1,-85.5,31.5
-1,-84.5,31.5
-1,-83.5,31.5
-1,-82.5,31.5
1759,-81.5,31.5
1760,-80.5,31.5
1759,-79.5,31.5
836,-78.5,31.5
836,-77.5,31.5
1760,-76.5,31.5
1760,-75.5,31.5
1760,-74.5,31.5
1760,-73.5,31.5
1760,-72.5,31.5
1760,-71.5,31.5
1760,-70.5,31.5
1760,-69.5,31.5
1760,-68.5,31.5
1760,-67.5,31.5
1760,-66.5,31.5
1760,-65.5,31.5
1760,-64.5,31.5
1796,-63.5,31.5
1796,-62.5,31.5
1796,-61.5,31.5
1796,-60.5,31.5
1796,-59.5,31.5
1796,-58.5,31.5
1796,-57.5,31.5
1796,-56.5,31.5
1796,-55.5,31.5
-1,-94.5,30.5
-1,-93.5,30.5
-1,-92.5,30.5
-1,-91.5,30.5
-1,-90.5,30.5
535,-89.5,30.5
535,-88.5,30.5
1759,-87.5,30.5
1759,-86.5,30.5
-1,-85.5,30.5
-1,-84.5,30.5
-1,-83.5,30.5
-1,-82.5,30.5
1759,-81.5,30.5
1759,-80.5,30.5
1759,-79.5,30.5
1759,-78.5,30.5
1760,-77.5,30.5
1760,-76.5,30.5
1760,-75.5,30.5
1760,-74.5,30.5
1760,-73.5,30.5
1760,-72.5,30.5
1760,-71.5,30.5
1760,-70.5,30.5
1760,-69.5,30.5
1760,-68.5,30.5
1760,-67.5,30.5
1760,-66.5,30.5
1760,-65.5,30.5
1760,-64.5,30.5
1796,-63.5,30.5
1796,-62.5,30.5
1796,-61.5,30.5
1796,-60.5,30.5
1796,-59.5,30.5
1796,-58.5,30.5
1796,-57.5,30.5
1796,-56.5,30.5
1796,-55.5,30.5
1796,-94.5,29.5
1531,-93.5,29.5
1700,-92.5,29.5
1700,-91.5,29.5
1688,-90.5,29.5
1688,-89.5,29.5
1688,-88.5,29.5
1759,-87.5,29.5
1759,-86.5,29.5
1759,-85.5,29.5
1759,-84.5,29.5
1759,-83.5,29.5
-1,-82.5,29.5
-1,-81.5,29.5
1759,-80.5,29.5
1759,-79.5,29.5
212,-78.5,29.5
1760,-77.5,29.5
1760,-76.5,29.5
1760,-75.5,29.5
1760,-74.5,29.5
1760,-73.5,29.5
1760,-72.5,29.5
1760,-71.5,29.5
1760,-70.5,29.5
1760,-69.5,29.5
1760,-68.5,29.5
1760,-67.5,29.5
1760,-66.5,29.5
1760,-65.5,29.5
1760,-64.5,29.5
