"layer","x","y"
344,-60.5,34.5
344,-59.5,34.5
344,-58.5,34.5
344,-57.5,34.5
344,-56.5,34.5
344,-55.5,34.5
-1,-94.5,33.5
-1,-93.5,33.5
-1,-92.5,33.5
-1,-91.5,33.5
-1,-90.5,33.5
-1,-89.5,33.5
-1,-88.5,33.5
-1,-87.5,33.5
-1,-86.5,33.5
-1,-85.5,33.5
-1,-84.5,33.5
-1,-83.5,33.5
-1,-82.5,33.5
-1,-81.5,33.5
-1,-80.5,33.5
-1,-79.5,33.5
355,-78.5,33.5
355,-77.5,33.5
355,-76.5,33.5
355,-75.5,33.5
355,-74.5,33.5
355,-73.5,33.5
151,-72.5,33.5
283,-71.5,33.5
344,-70.5,33.5
344,-69.5,33.5
344,-68.5,33.5
344,-67.5,33.5
344,-66.5,33.5
344,-65.5,33.5
344,-64.5,33.5
344,-63.5,33.5
344,-62.5,33.5
344,-61.5,33.5
344,-60.5,33.5
344,-59.5,33.5
344,-58.5,33.5
344,-57.5,33.5
344,-56.5,33.5
344,-55.5,33.5
-1,-94.5,32.5
-1,-93.5,32.5
-1,-92.5,32.5
-1,-91.5,32.5
-1,-90.5,32.5
-1,-89.5,32.5
-1,-88.5,32.5
-1,-87.5,32.5
-1,-86.5,32.5
-1,-85.5,32.5
-1,-84.5,32.5
-1,-83.5,32.5
-1,-82.5,32.5
-1,-81.5,32.5
355,-80.5,32.5
355,-79.5,32.5
355,-78.5,32.5
355,-77.5,32.5
355,-76.5,32.5
355,-75.5,32.5
355,-74.5,32.5
355,-73.5,32.5
344,-72.5,32.5
344,-71.5,32.5
344,-70.5,32.5
344,-69.5,32.5
344,-68.5,32.5
344,-67.5,32.5
344,-66.5,32.5
344,-65.5,32.5
344,-64.5,32.5
43,-63.5,32.5
343,-62.5,32.5
68,-61.5,32.5
68,-60.5,32.5
344,-59.5,32.5
68,-58.5,32.5
68,-57.5,32.5
68,-56.5,32.5
68,-55.5,32.5
-1,-94.5,31.5
-1,-93.5,31.5
-1,-92.5,31.5
-1,-91.5,31.5
-1,-90.5,31.5
-1,-89.5,31.5
-1,-88.5,31.5
-1,-87.5,31.5
-1,-86.5,31.5
-1,-85.5,31.5
-1,-84.5,31.5
-1,-83.5,31.5
-1,-82.5,31.5
343,-81.5,31.5
355,-80.5,31.5
355,-79.5,31.5
355,-78.5,31.5
355,-77.5,31.5
355,-76.5,31.5
355,-75.5,31.5
355,-74.5,31.5
344,-73.5,31.5
344,-72.5,31.5
344,-71.5,31.5
344,-70.5,31.5
344,-69.5,31.5
344,-68.5,31.5
344,-67.5,31.5
344,-66.5,31.5
344,-65.5,31.5
43,-64.5,31.5
43,-63.5,31.5
43,-62.5,31.5
343,-61.5,31.5
344,-60.5,31.5
344,-59.5,31.5
344,-58.5,31.5
68,-57.5,31.5
68,-56.5,31.5
68,-55.5,31.5
-1,-94.5,30.5
-1,-93.5,30.5
-1,-92.5,30.5
-1,-91.5,30.5
-1,-90.5,30.5
343,-89.5,30.5
343,-88.5,30.5
354,-87.5,30.5
354,-86.5,30.5
-1,-85.5,30.5
-1,-84.5,30.5
-1,-83.5,30.5
-1,-82.5,30.5
343,-81.5,30.5
343,-80.5,30.5
343,-79.5,30.5
343,-78.5,30.5
343,-77.5,30.5
343,-76.5,30.5
296,-75.5,30.5
296,-74.5,30.5
344,-73.5,30.5
344,-72.5,30.5
344,-71.5,30.5
344,-70.5,30.5
344,-69.5,30.5
344,-68.5,30.5
344,-67.5,30.5
344,-66.5,30.5
344,-65.5,30.5
43,-64.5,30.5
43,-63.5,30.5
43,-62.5,30.5
344,-61.5,30.5
344,-60.5,30.5
344,-59.5,30.5
344,-58.5,30.5
343,-57.5,30.5
343,-56.5,30.5
68,-55.5,30.5
343,-94.5,29.5
343,-93.5,29.5
343,-92.5,29.5
343,-91.5,29.5
343,-90.5,29.5
343,-89.5,29.5
150,-88.5,29.5
354,-87.5,29.5
354,-86.5,29.5
354,-85.5,29.5
354,-84.5,29.5
354,-83.5,29.5
-1,-82.5,29.5
-1,-81.5,29.5
331,-80.5,29.5
343,-79.5,29.5
344,-78.5,29.5
343,-77.5,29.5
79,-76.5,29.5
296,-75.5,29.5
296,-74.5,29.5
344,-73.5,29.5
344,-72.5,29.5
344,-71.5,29.5
344,-70.5,29.5
344,-69.5,29.5
344,-68.5,29.5
344,-67.5,29.5
344,-66.5,29.5
43,-65.5,29.5
43,-64.5,29.5
43,-63.5,29.5
43,-62.5,29.5
344,-61.5,29.5
343,-60.5,29.5
343,-59.5,29.5
343,-58.5,29.5
343,-57.5,29.5
343,-56.5,29.5
68,-55.5,29.5
343,-94.5,28.5
343,-93.5,28.5
343,-92.5,28.5
343,-91.5,28.5
343,-90.5,28.5
343,-89.5,28.5
354,-88.5,28.5
354,-87.5,28.5
354,-86.5,28.5
354,-85.5,28.5
354,-84.5,28.5
354,-83.5,28.5
79,-82.5,28.5
-1,-81.5,28.5
331,-80.5,28.5
