"layer","x","y"
387,-65.5,34.5
387,-64.5,34.5
1335,-63.5,34.5
1191,-62.5,34.5
1191,-61.5,34.5
1191,-60.5,34.5
1191,-59.5,34.5
1191,-58.5,34.5
1191,-57.5,34.5
1191,-56.5,34.5
1191,-55.5,34.5
-1,-94.5,33.5
-1,-93.5,33.5
-1,-92.5,33.5
-1,-91.5,33.5
-1,-90.5,33.5
-1,-89.5,33.5
-1,-88.5,33.5
-1,-87.5,33.5
-1,-86.5,33.5
-1,-85.5,33.5
-1,-84.5,33.5
-1,-83.5,33.5
-1,-82.5,33.5
-1,-81.5,33.5
-1,-80.5,33.5
-1,-79.5,33.5
1202,-78.5,33.5
1335,-77.5,33.5
1335,-76.5,33.5
1694,-75.5,33.5
1694,-74.5,33.5
458,-73.5,33.5
458,-72.5,33.5
842,-71.5,33.5
842,-70.5,33.5
842,-69.5,33.5
842,-68.5,33.5
735,-67.5,33.5
735,-66.5,33.5
735,-65.5,33.5
735,-64.5,33.5
1335,-63.5,33.5
1191,-62.5,33.5
1191,-61.5,33.5
1191,-60.5,33.5
1191,-59.5,33.5
1191,-58.5,33.5
1191,-57.5,33.5
1191,-56.5,33.5
1191,-55.5,33.5
-1,-94.5,32.5
-1,-93.5,32.5
-1,-92.5,32.5
-1,-91.5,32.5
-1,-90.5,32.5
-1,-89.5,32.5
-1,-88.5,32.5
-1,-87.5,32.5
-1,-86.5,32.5
-1,-85.5,32.5
-1,-84.5,32.5
-1,-83.5,32.5
-1,-82.5,32.5
-1,-81.5,32.5
1694,-80.5,32.5
1694,-79.5,32.5
1694,-78.5,32.5
1694,-77.5,32.5
1694,-76.5,32.5
1694,-75.5,32.5
1694,-74.5,32.5
1694,-73.5,32.5
1683,-72.5,32.5
842,-71.5,32.5
842,-70.5,32.5
842,-69.5,32.5
842,-68.5,32.5
735,-67.5,32.5
735,-66.5,32.5
735,-65.5,32.5
1191,-64.5,32.5
1335,-63.5,32.5
1191,-62.5,32.5
1191,-61.5,32.5
1191,-60.5,32.5
1191,-59.5,32.5
1191,-58.5,32.5
1191,-57.5,32.5
1191,-56.5,32.5
1191,-55.5,32.5
-1,-94.5,31.5
-1,-93.5,31.5
-1,-92.5,31.5
-1,-91.5,31.5
-1,-90.5,31.5
-1,-89.5,31.5
-1,-88.5,31.5
-1,-87.5,31.5
-1,-86.5,31.5
-1,-85.5,31.5
-1,-84.5,31.5
-1,-83.5,31.5
-1,-82.5,31.5
1286,-81.5,31.5
1286,-80.5,31.5
1694,-79.5,31.5
1694,-78.5,31.5
531,-77.5,31.5
531,-76.5,31.5
1694,-75.5,31.5
1694,-74.5,31.5
1683,-73.5,31.5
1683,-72.5,31.5
1683,-71.5,31.5
842,-70.5,31.5
842,-69.5,31.5
842,-68.5,31.5
735,-67.5,31.5
735,-66.5,31.5
735,-65.5,31.5
1191,-64.5,31.5
1335,-63.5,31.5
1335,-62.5,31.5
1191,-61.5,31.5
1191,-60.5,31.5
1191,-59.5,31.5
1191,-58.5,31.5
1191,-57.5,31.5
1191,-56.5,31.5
1191,-55.5,31.5
-1,-94.5,30.5
-1,-93.5,30.5
-1,-92.5,30.5
-1,-91.5,30.5
-1,-90.5,30.5
1682,-89.5,30.5
1682,-88.5,30.5
1693,-87.5,30.5
1693,-86.5,30.5
-1,-85.5,30.5
-1,-84.5,30.5
-1,-83.5,30.5
-1,-82.5,30.5
1286,-81.5,30.5
1286,-80.5,30.5
1286,-79.5,30.5
531,-78.5,30.5
531,-77.5,30.5
531,-76.5,30.5
1058,-75.5,30.5
1058,-74.5,30.5
1683,-73.5,30.5
1683,-72.5,30.5
1335,-71.5,30.5
1335,-70.5,30.5
1191,-69.5,30.5
1191,-68.5,30.5
1191,-67.5,30.5
1335,-66.5,30.5
1335,-65.5,30.5
1335,-64.5,30.5
1335,-63.5,30.5
1335,-62.5,30.5
1191,-61.5,30.5
1191,-60.5,30.5
1191,-59.5,30.5
1191,-58.5,30.5
1191,-57.5,30.5
1191,-56.5,30.5
1191,-55.5,30.5
1682,-94.5,29.5
1334,-93.5,29.5
1130,-92.5,29.5
1082,-91.5,29.5
1682,-90.5,29.5
1682,-89.5,29.5
1489,-88.5,29.5
1298,-87.5,29.5
1693,-86.5,29.5
1693,-85.5,29.5
1693,-84.5,29.5
1693,-83.5,29.5
-1,-82.5,29.5
-1,-81.5,29.5
1286,-80.5,29.5
1286,-79.5,29.5
1683,-78.5,29.5
531,-77.5,29.5
1058,-76.5,29.5
1058,-75.5,29.5
1058,-74.5,29.5
1058,-73.5,29.5
1683,-72.5,29.5
1191,-71.5,29.5
1191,-70.5,29.5
1191,-69.5,29.5
1191,-68.5,29.5
1191,-67.5,29.5
1335,-66.5,29.5
1335,-65.5,29.5
1335,-64.5,29.5
1335,-63.5,29.5
1191,-62.5,29.5
1335,-61.5,29.5
1191,-60.5,29.5
1191,-59.5,29.5
1311,-58.5,29.5
1191,-57.5,29.5
